Aportes,,,,,,,,Valor mensal aportado,,,,,,Auxiliar Aportes x Carteira atual,,,,,,,,,Consolidado,,,,,,Aportes em Dolar,,,,,,,,,Desdobramentos,,,,Conversoes,,,,,Bonificação,,,
Data,Mês/ano,Titulo,Moeda,Investido,Qtde,I/Q,,Mês/ano,Aporte ,Aporte US$,Aporte consolidado,Acumulado,,Ação,Aportado,Percentual,Carteira Atual,Diferença,Quantidade,"0,00000000",Status,,Soma Reais,Soma Dolar,Meses,Média mensal,Diferença,,Reais,Cotação,Taxa cambio,IOF,Outras Taxas (Dolar),Dolar,Data,,,Ação,Fator,Data,,Ação,Fator,Data,,,Ação,Fator,Data,Quantidade
26/12/2018,12/2018,Selic 2023,Real,"R$ 98,71","1,00000000","R$ 98,71",,7/2019,"R$ 1.847,49",#VALUE!,#VALUE!,#VALUE!,,Prefixado 2025,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,2025,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,"R$ 100,00","R$ 5,18",,"R$ 0,38",,"$19,23",24/03/2020,"R$ 5,20",,,,,,,,,,,,,,
26/12/2018,12/2018,Prefixado 2021,Real,"R$ 147,31","1,00000000","R$ 147,31",,8/2019,"R$ 2.963,94",#VALUE!,#VALUE!,#VALUE!,,Itáu Ações Dunamis FIC,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 139,42","R$ 5,37",,"R$ 0,53",,"$25,85",02/04/2020,"R$ 5,39",,,,,,,,,,,,,,
26/12/2018,12/2018,IPCA 2024,Real,"R$ 49,18","1,00000000","R$ 49,18",,9/2019,"R$ 1.246,08",#VALUE!,#VALUE!,#VALUE!,,KNRI11,"R$ 11.901,55","39,08%","R$ 11.901,550","R$ 0,00","90,00000000","R$ 132,24",Ativo,,prazo,12,,,,,"R$ 200,00","R$ 5,40",,"R$ 0,76",,"$36,88",03/04/2020,"R$ 5,42",,,,,,,,,,,,,,
04/01/2019,1/2019,CDB Banco Pine,Real,"R$ 100,00",,#DIV/0!,,10/2019,"R$ 2.270,57",#VALUE!,#VALUE!,#VALUE!,,SMAL11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,Selic,,"13,750",,,,"R$ 3.200,00","R$ 5,47","R$ 32,00","R$ 12,16","$1,15","$575,25",31/08/2020,"R$ 5,56",,,,,,,,,,,,,,
10/01/2019,1/2019,BOVA11,Real,"R$ 90,00","1,00000000","R$ 90,00",,11/2019,"R$ 3.269,37",#VALUE!,#VALUE!,#VALUE!,,IVVB11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,CDI,,"13,650",,,,"R$ 1.700,00","R$ 5,25","R$ 17,00","R$ 6,46","$0,63","$318,65",15/09/2020,"R$ 5,34",,,,,,,,,,,,,,
28/01/2019,1/2019,Daycoval Classic,Real,"R$ 500,00",,#DIV/0!,,12/2019,"R$ 4.466,36",#VALUE!,#VALUE!,#VALUE!,,HGLG11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,Rendimento mensal,,,,,,"R$ 1.300,00","R$ 5,65","R$ 13,00","R$ 4,94","$0,45","$226,44",30/09/2020,"R$ 5,74",,,,,,,,,,,,,,
29/01/2019,1/2019,ALASKA BLACK FIC FIA II,Real,"R$ 1.000,00","1,00000000","R$ 1.000,00",,1/2020,"R$ 516,31",#VALUE!,#VALUE!,#VALUE!,,IPCA+ Juros 2026,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,prazo,poupança,nubank,picpay,,,"R$ 1.700,00","R$ 5,67","R$ 0,00","R$ 6,46","$0,59","$298,04",30/09/2020,"R$ 5,70",,,,,,,,,,,,,,
27/02/2019,2/2019,Prefixado 2025,Real,"R$ 61,44","1,00000000","R$ 61,44",,2/2020,"R$ 4.819,71",#VALUE!,#VALUE!,#VALUE!,,DIVO11,"R$ 2.503,34","8,22%","R$ 2.503,340","R$ 0,00","39,00000000","R$ 64,19",Ativo,,até 180 dias,"0,500%","0,882%","1,095%",,,"R$ 1.200,00","R$ 5,80","R$ 0,00","R$ 4,56","$0,41","$205,67",03/11/2020,"R$ 5,83",,,,,,,,,,,,,,
15/03/2019,3/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,3/2020,"R$ 13.846,76",#VALUE!,#VALUE!,#VALUE!,,Selic 2025,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,de 181 até 360 dias,"0,500%","0,910%","1,138%",,,"R$ 1.300,00","R$ 5,52","R$ 0,00","R$ 4,94","$0,46","$233,99",13/11/2020,"R$ 5,56",,,,,,,,,,,,,,
18/03/2019,3/2019,Itáu Ações Dunamis FIC,Real,"R$ 100,00","1,00000000","R$ 100,00",,4/2020,"R$ 14.240,73",#VALUE!,#VALUE!,#VALUE!,,IPCA+ 2026 Inter,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,de 361 até 720 dias,"0,500%","0,938%","1,180%",,,"R$ 700,00","R$ 5,39","R$ 0,00","R$ 2,66","$0,25","$129,03",20/11/2020,"R$ 5,43",,,,,,,,,,,,,,
26/03/2019,3/2019,KNRI11,Real,"R$ 154,76","1,00000000","R$ 154,76",,5/2020,"R$ 4.106,29",#VALUE!,#VALUE!,#VALUE!,,CPLE6,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,acima de 720 dias,"0,500%","0,967%","1,223%",,,"R$ 2.350,00","R$ 5,12","R$ 0,00","R$ 8,93","$0,91","$456,05",17/12/2020,"R$ 5,15",,,,,,,,,,,,,,
