Aportes,,,,,,,,Valor mensal aportado,,,,,,Auxiliar Aportes x Carteira atual,,,,,,,,,Consolidado,,,,,,Aportes em Dolar,,,,,,,,,Desdobramentos,,,,Conversoes,,,,,Bonificação,,,
Data,Mês/ano,Titulo,Moeda,Investido,Qtde,I/Q,,Mês/ano,Aporte ,Aporte US$,Aporte consolidado,Acumulado,,Ação,Aportado,Percentual,Carteira Atual,Diferença,Quantidade,"0,00000000",Status,,Soma Reais,Soma Dolar,Meses,Média mensal,Diferença,,Reais,Cotação,Taxa cambio,IOF,Outras Taxas (Dolar),Dolar,Data,,,Ação,Fator,Data,,Ação,Fator,Data,,,Ação,Fator,Data,Quantidade
27/06/2019,6/2019,GRND3,Real,"R$ 15,08","2,00000000","R$ 7,54",,2/2023,"R$ 380,77",#VALUE!,#VALUE!,#VALUE!,,Prefixado 2026,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,50,"5,48369","R$ 0,00","R$ 0,19","R$ 0,90","$9,12",10/06,"R$ 5,48",,,,,,,,,,,,,,
27/06/2019,6/2019,FLRY3,Real,"R$ 63,93","3,00000000","R$ 21,31",,3/2023,"R$ 1.121,55",#VALUE!,#VALUE!,#VALUE!,,SLCE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,50,"5,50291",0,"0,19","0,9","$9,09",10/07,"R$ 5,50",,,,,,,,,,,,,,
27/06/2019,6/2019,EZTC3,Real,"R$ 50,81","2,00000000","R$ 25,41",,4/2023,"R$ 2.196,42",#VALUE!,#VALUE!,#VALUE!,,NOBL,"R$ 153,0000000000000000","0,50%","R$ 153,000","R$ 0,00","1,51179311999998000","R$ 101,2043235122020000",Ativo,,,,,,,,50,"5,62283",0,"0,19","0,9","$8,89",12/08/2024,"R$ 5,62",,,,,,,,,,,,,,
27/06/2019,6/2019,CPLE6,Real,"R$ 141,50","30,00000000","R$ 4,72",,5/2023,"R$ 3.761,92",#VALUE!,#VALUE!,#VALUE!,,VALE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,50,"5,70605",0,"0,19","0,9","$8,89",10/09/2024,"R$ 5,62",,,,,,,,,,,,,,
27/06/2019,6/2019,BOVA11,Real,"R$ 96,23","1,00000000","R$ 96,23",,6/2023,"-R$ 24.534,75",#VALUE!,#VALUE!,#VALUE!,,MRFG3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,50,"5,71628",0,"0,19","0,9","$8,75",10/10/2024,"R$ 5,71",,,,,,,,,,,,,,
27/06/2019,6/2019,BCFF11,Real,"R$ 265,50","24,00000000","R$ 11,06",,7/2023,"R$ 98,39",#VALUE!,#VALUE!,#VALUE!,,JNJ,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000","R$ 0,00",Fora da carteira,,,,,,,,50,"5,91952",0,"0,19","0,9","$8,45",11/11/2024,"R$ 5,92",,,,,,,,,,,,,,
27/06/2019,6/2019,B3SA3,Real,"R$ 36,71","3,00000000","R$ 12,24",,8/2023,"R$ 100,02",#VALUE!,#VALUE!,#VALUE!,,CSAN3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,50,"6,19914",0,"0,19","0,9","$8,07",10/12/2024,"R$ 6,20",,,,,,,,,,,,,,
27/06/2019,6/2019,Selic 2025,Real,"R$ 1.118,99","1,00000000","R$ 1.118,99",,9/2023,"R$ 176,00",#VALUE!,#VALUE!,#VALUE!,,CYRE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,136,"6,2519",0,"0,52","2,46","$21,75",10/01/2025,"R$ 6,25",,,,,,,,,,,,,,
27/06/2019,6/2019,Prefixado 2025,Real,"R$ 74,71","1,00000000","R$ 74,71",,10/2023,"R$ 111,48",#VALUE!,#VALUE!,#VALUE!,,GGBR4,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"583,51",,,,,,28/02/2025,#DIV/0!,,,,,,,,,,,,,,
27/06/2019,6/2019,IPCA 2024,Real,"R$ 219,94","1,00000000","R$ 219,94",,11/2023,"R$ 310,56",#VALUE!,#VALUE!,#VALUE!,,VNQ,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2019,7/2019,DIVO11,Real,"R$ 59,91","1,00000000","R$ 59,91",,12/2023,"R$ 1.267,77",#VALUE!,#VALUE!,#VALUE!,,COGN3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,BTC,Real,"R$ 12,00",,#DIV/0!,,1/2024,"R$ 1.723,08",#VALUE!,#VALUE!,#VALUE!,,EVEN3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,ABEV3,Real,"R$ 19,38","1,00000000","R$ 19,38",,2/2024,"R$ 2.466,00",#VALUE!,#VALUE!,#VALUE!,,BTOW3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,B3SA3,Real,"R$ 42,03","3,00000000","R$ 14,01",,3/2024,"R$ 999,91",#VALUE!,#VALUE!,#VALUE!,,ESPO,"$188,65","0,62%","R$ 188,650","R$ 0,00","1,71474229","$110,02",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,CPLE6,Real,"R$ 49,18","10,00000000","R$ 4,92",,4/2024,"R$ 4.239,27",#VALUE!,#VALUE!,#VALUE!,,BBDC4,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,EMBR3,Real,"R$ 19,29","1,00000000","R$ 19,29",,5/2024,"R$ 1.056,38",#VALUE!,#VALUE!,#VALUE!,,LIGT3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,EZTC3,Real,"R$ 31,00","1,00000000","R$ 31,00",,6/2024,"R$ 609,32",#VALUE!,#VALUE!,#VALUE!,,LWSA3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,FLRY3,Real,"R$ 23,53","1,00000000","R$ 23,53",,7/2024,"R$ 7.431,09",#VALUE!,#VALUE!,#VALUE!,,BBAS3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,ITSA4,Real,"R$ 13,10","1,00000000","R$ 13,10",,8/2024,"R$ 33.082,26",#VALUE!,#VALUE!,#VALUE!,,BPAC3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,MDIA3,Real,"R$ 38,70","1,00000000","R$ 38,70",,9/2024,"R$ 158,01",#VALUE!,#VALUE!,#VALUE!,,CSNA3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,SQIA3,Real,"R$ 52,21","1,00000000","R$ 52,21",,10/2024,"R$ 3.531,26",#VALUE!,#VALUE!,#VALUE!,,Selic 2027,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,SUZB3,Real,"R$ 31,96","1,00000000","R$ 31,96",,11/2024,"-R$ 118.316,75",#VALUE!,#VALUE!,#VALUE!,,PRIO3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,WEGE3,Real,"R$ 23,18","2,00000000","R$ 11,59",,12/2024,"R$ 607,24",#VALUE!,#VALUE!,#VALUE!,,GOOGL,"$0,00","0,00%",#N/A,#N/A,"0,00000000","$0,00",Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,7/2019,WIZC3,Real,"R$ 12,09","1,00000000","R$ 12,09",,1/2025,"R$ 5.541,82",#VALUE!,#VALUE!,#VALUE!,,BPAC11,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,2/2025,"R$ 4.627,71",#VALUE!,#VALUE!,#VALUE!,,CCRO3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,SMAL11,Real,"R$ 108,49","1,00000000","R$ 108,49",,3/2025,"-R$ 1.865,64",#VALUE!,#VALUE!,#VALUE!,,IPCA+ Juros 2030,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,BOVA11,Real,"R$ 99,46","1,00000000","R$ 99,46",,4/2025,"R$ 30,00",#VALUE!,#VALUE!,#VALUE!,,CPLE11,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,BCFF11,Real,"R$ 93,64","8,00000000","R$ 11,71",,5/2025,"-R$ 9.423,65",#VALUE!,#VALUE!,#VALUE!,,IGTA3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,KNRI11,Real,"R$ 151,50","1,00000000","R$ 151,50",,6/2025,"-R$ 8.102,13",#VALUE!,#VALUE!,#VALUE!,,RENT3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,Selic 2025,Real,"R$ 818,04","1,00000000","R$ 818,04",,7/2025,"R$ 43,37",#VALUE!,#VALUE!,#VALUE!,,LREN3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,Prefixado 2025,Real,"R$ 48,80","1,00000000","R$ 48,80",,8/2025,"R$ 357,00",#VALUE!,#VALUE!,#VALUE!,,MULT3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,7/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,9/2025,"R$ 100,00",#VALUE!,#VALUE!,#VALUE!,,VIVT3,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2019,8/2019,HGLG11,Real,"R$ 142,97","1,00000000","R$ 142,97",,10/2025,"R$ 614,89",#VALUE!,#VALUE!,#VALUE!,,TRPL4,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,Selic 2025,Real,"R$ 307,83","1,00000000","R$ 307,83",,11/2025,"R$ 688,12",#VALUE!,#VALUE!,#VALUE!,,NUBR33,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,12/2025,,#VALUE!,,,,BTCUSD,"$0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,Prefixado 2025,Real,"R$ 34,99","1,00000000","R$ 34,99",,1/2026,,,,,,Itaú FMP Eletrobras,"$3.339,42","10,96%","R$ 3.339,420","R$ 0,00","1,00000000","$3.339,42",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,WIZC3,Real,"R$ 11,60","1,00000000","R$ 11,60",,2/2026,,,,,,NU,"$142,00","0,47%","R$ 142,000","R$ 0,00","8,97449045","$15,82",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,EMBR3,Real,"R$ 18,06","1,00000000","R$ 18,06",,,,,,,,IPCA+ 2029,"R$ 1.854,10","6,09%","R$ 1.854,100","R$ 0,00","3,00000000","R$ 618,03",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,ABEV3,Real,"R$ 18,74","1,00000000","R$ 18,74",,,,,,,,Selic 2029,"R$ 4.897,39","16,08%","R$ 4.897,390","R$ 0,00","4,00000000","R$ 1.224,35",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,8/2019,SUZB3,Real,"R$ 31,54","1,00000000","R$ 31,54",,,,,,,,NCN,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/2019,8/2019,BTC,Real,"R$ 10,00",,#DIV/0!,,,,,,,,NSDV11,"R$ 113,47","0,37%","R$ 113,470","R$ 0,00","1,00000000","R$ 113,47",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2019,8/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,,,,,,,ITSA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,WIZC3,Real,"R$ 22,22","2,00000000","R$ 11,11",,,,,,,,SAPR3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,MDIA3,Real,"R$ 34,13","1,00000000","R$ 34,13",,,,,,,,CPLE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,EZTC3,Real,"R$ 35,27","1,00000000","R$ 35,27",,,,,,,,GGBR3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,EMBR3,Real,"R$ 35,08","2,00000000","R$ 17,54",,,,,,,,TRPL3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,ABEV3,Real,"R$ 36,28","2,00000000","R$ 18,14",,,,,,,,Tesouro IPCA+ 2045,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,GRND3,Real,"R$ 21,93","3,00000000","R$ 7,31",,,,,,,,USDC,"R$ 938,00","3,08%","R$ 938,000","R$ 0,00","174,65926400","R$ 5,37",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,SUZB3,Real,"R$ 27,87","1,00000000","R$ 27,87",,,,,,,,BTHF11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,FLRY3,Real,"R$ 47,18","2,00000000","R$ 23,59",,,,,,,,USDT,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,WEGE3,Real,"R$ 44,08","4,00000000","R$ 11,02",,,,,,,,Selic 2028,"R$ 2.572,66","8,45%","R$ 2.572,660","R$ 0,00","2,00000000","R$ 1.286,33",Ativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,B3SA3,Real,"R$ 42,91","3,00000000","R$ 14,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,ITSA4,Real,"R$ 35,61","3,00000000","R$ 11,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,CPLE6,Real,"R$ 99,46","20,00000000","R$ 4,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,SQIA3,Real,"R$ 63,37","1,00000000","R$ 63,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,Selic 2025,Real,"R$ 1.130,53","1,00000000","R$ 1.130,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,8/2019,Prefixado 2025,Real,"R$ 41,59","1,00000000","R$ 41,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,8/2019,BOVA11,Real,"R$ 93,42","1,00000000","R$ 93,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,8/2019,IVVB11,Real,"R$ 127,77","1,00000000","R$ 127,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,8/2019,SMAL11,Real,"R$ 106,94","1,00000000","R$ 106,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,8/2019,BCFF11,Real,"R$ 91,22","8,00000000","R$ 11,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,8/2019,HGLG11,Real,"R$ 151,35","1,00000000","R$ 151,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2019,9/2019,SQIA3,Real,"-R$ 153,45","-3,00000000","R$ 51,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2019,9/2019,SAPR11,Real,"R$ 175,88","6,00000000","R$ 29,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2019,9/2019,ITSA4,Real,"R$ 26,08","2,00000000","R$ 13,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,9/2019,BTC,Real,"R$ 6,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,9/2019,ITSA4,Real,"R$ 13,07","1,00000000","R$ 13,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,9/2019,MDIA3,Real,"R$ 70,52","2,00000000","R$ 35,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,9/2019,WIZC3,Real,"R$ 22,02","2,00000000","R$ 11,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,9/2019,SAPR11,Real,"R$ 83,01","3,00000000","R$ 27,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,HGLG11,Real,"R$ 153,99","1,00000000","R$ 153,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,Selic 2025,Real,"R$ 516,41","1,00000000","R$ 516,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,BOVA11,Real,"R$ 100,80","1,00000000","R$ 100,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,9/2019,IVVB11,Real,"R$ 131,75","1,00000000","R$ 131,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,10/2019,BTC,Real,"R$ 5,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,10/2019,MDIA3,Real,"R$ 35,05","1,00000000","R$ 35,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,10/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,10/2019,Selic 2025,Real,"R$ 103,34","1,00000000","R$ 103,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,BTC,Real,"R$ 10,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,BCFF11,Real,"R$ 94,43","8,00000000","R$ 11,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,HGLG11,Real,"R$ 163,60","1,00000000","R$ 163,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,IVVB11,Real,"R$ 130,95","1,00000000","R$ 130,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,SMAL11,Real,"R$ 115,41","1,00000000","R$ 115,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,WIZC3,Real,"R$ 22,12","2,00000000","R$ 11,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,MDIA3,Real,"R$ 34,99","1,00000000","R$ 34,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,EMBR3,Real,"R$ 36,12","2,00000000","R$ 18,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,ABEV3,Real,"R$ 75,32","4,00000000","R$ 18,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,ITSA4,Real,"R$ 67,40","5,00000000","R$ 13,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,SAPR11,Real,"R$ 87,56","3,00000000","R$ 29,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,SUZB3,Real,"R$ 34,93","1,00000000","R$ 34,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,WEGE3,Real,"R$ 24,82","2,00000000","R$ 12,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,Selic 2025,Real,"R$ 829,37","1,00000000","R$ 829,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,10/2019,Prefixado 2025,Real,"R$ 175,63","1,00000000","R$ 175,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/10/2019,10/2019,ABEV3,Real,"R$ 124,53","7,00000000","R$ 17,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,ALASKA BLACK FIC FIA II,Real,"R$ 1.000,00","1,00000000","R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,Selic 2025,Real,"R$ 1.557,93","1,00000000","R$ 1.557,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,BTC,Real,"R$ 10,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,DIVO11,Real,"R$ 62,23","1,00000000","R$ 62,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,BCFF11,Real,"R$ 102,97","8,00000000","R$ 12,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,HGLG11,Real,"R$ 162,59","1,00000000","R$ 162,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,11/2019,KNRI11,Real,"R$ 173,65","1,00000000","R$ 173,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2019,11/2019,CDB Banco Maxima,Real,"R$ 200,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2019,12/2019,BTC,Real,"R$ 20,00",,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2019,12/2019,Selic 2025,Real,"R$ 2.293,68","1,00000000","R$ 2.293,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2019,12/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2019,12/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
