Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
Data Pagamento,Mês/ano,Corretora,Ativo,Moeda,Valor,Tipo,,Ativo,Soma,Percentual,,Mês/ano,Proventos Reais,Proventos Dolar,Consolidado,% do total,,"R$ 23.007,85",#VALUE!,#VALUE!
01/10/2019,10/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 0,16",Dividendo,,SAPR11,"$323,92","1,408%",,2/2021,"R$ 212,06",#VALUE!,#VALUE!,#VALUE!,,,,
04/10/2019,10/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FLRY3,Real,"R$ 0,68",Juros sobre capital próprio,,CPLE6,"$164,36","0,714%",,3/2021,"R$ 192,26",#VALUE!,#VALUE!,#VALUE!,,,,
07/10/2019,10/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,38",Dividendo,,VNQ,"$180,49","0,784%",,4/2021,"R$ 273,24",#VALUE!,#VALUE!,#VALUE!,,,,
07/10/2019,10/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,48",Juros sobre capital próprio,,NOBL,"$100,19","0,435%",,5/2021,"R$ 257,18",#VALUE!,#VALUE!,#VALUE!,,,,
14/10/2019,10/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 2,85",Rendimentos,,MGLU3,"R$ 0,09","0,000%",,6/2021,"R$ 236,99",#VALUE!,#VALUE!,#VALUE!,,,,
14/10/2019,10/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 4,68",Rendimentos,,SMAL11,"R$ 0,20","0,001%",,7/2021,"R$ 249,09",#VALUE!,#VALUE!,#VALUE!,,,,
14/10/2019,10/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 1,48",Rendimentos,,PSSA3,"R$ 0,98","0,004%",,8/2021,"R$ 386,13",#VALUE!,#VALUE!,#VALUE!,,,,
14/11/2019,11/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 3,71",Rendimentos,,VALE3,"R$ 25,67","0,112%",,9/2021,"R$ 184,32",#VALUE!,#VALUE!,#VALUE!,,,,
14/11/2019,11/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA BCFF13,BCFF11,Real,"R$ 0,20",Rendimentos,,BBDC4,"R$ 22,80","0,099%",,10/2021,"R$ 225,27",#VALUE!,#VALUE!,#VALUE!,,,,
14/11/2019,11/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 5,46",Rendimentos,,EZTC3,"R$ 252,12","1,096%",,11/2021,"R$ 458,66",#VALUE!,#VALUE!,#VALUE!,,,,
14/11/2019,11/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 1,48",Rendimentos,,GGBR4,"R$ 307,23","1,335%",,12/2021,"R$ 293,03",#VALUE!,#VALUE!,#VALUE!,,,,
19/11/2019,11/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GRND3,Real,"R$ 0,52",Dividendo,,PETR4,"R$ 0,00","0,000%",,1/2022,"R$ 294,68",#VALUE!,#VALUE!,#VALUE!,,,,
12/12/2019,12/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 3,71",Rendimentos,,CYRE3,"R$ 58,87","0,256%",,2/2022,"R$ 390,16",#VALUE!,#VALUE!,#VALUE!,,,,
12/12/2019,12/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA BCFF13,BCFF11,Real,"R$ 0,29",Rendimentos,,ESPO,"R$ 76,29","0,332%",,3/2022,"R$ 328,78",#VALUE!,#VALUE!,#VALUE!,,,,
13/12/2019,12/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 6,24",Rendimentos,,BBAS3,"R$ 0,50","0,002%",,4/2022,"R$ 331,75",#VALUE!,#VALUE!,#VALUE!,,,,
13/12/2019,12/2019,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 2,22",Rendimentos,,CCR03,"R$ 1,61","0,007%",,5/2022,"R$ 291,59",#VALUE!,#VALUE!,#VALUE!,,,,
24/12/2019,12/2019,AVENUE SECURITIES LLC,IVV,Dolar,"$0,15",Dividendo,,JBSS3,"R$ 19,14","0,083%",,6/2022,"R$ 469,35",#VALUE!,#VALUE!,#VALUE!,,,,
30/07/2019,7/2019,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ABEV3,Real,"R$ 7,09",Juros sobre capital próprio,,CSNA3,"R$ 12,82","0,056%",,7/2022,"R$ 439,72",#VALUE!,#VALUE!,#VALUE!,,,,
02/01/2020,1/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 0,20",Dividendo,,VIVT4,"R$ 0,22","0,001%",,8/2022,"R$ 429,65",#VALUE!,#VALUE!,#VALUE!,,,,
13/01/2020,1/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,49",Dividendo,,CPLE11,"R$ 397,11","1,726%",,9/2022,"R$ 271,70",#VALUE!,#VALUE!,#VALUE!,,,,
13/01/2020,1/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,49",Juros sobre capital próprio,,BPAC11,"R$ 1,73","0,008%",,10/2022,"R$ 328,38",#VALUE!,#VALUE!,#VALUE!,,,,
15/01/2020,1/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 6,84",Rendimentos,,TRPL4,"R$ 83,08","0,361%",,11/2022,"R$ 379,72",#VALUE!,#VALUE!,#VALUE!,,,,
15/01/2020,1/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 7,02",Rendimentos,,SUZB3,"R$ 59,44","0,258%",,12/2022,"R$ 526,68",#VALUE!,#VALUE!,#VALUE!,,,,
15/01/2020,1/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 3,70",Rendimentos,,LREN3,"R$ 0,50","0,002%",,1/2023,"R$ 373,47",#VALUE!,#VALUE!,#VALUE!,,,,
17/01/2020,1/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FLRY3,Real,"R$ 0,57",Juros sobre capital próprio,,VIVT3,"R$ 676,43","2,940%",,2/2023,"R$ 381,28",#VALUE!,#VALUE!,#VALUE!,,,,
14/02/2020,2/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 7,98",Rendimentos,,TRPL3,"R$ 127,40","0,554%",,3/2023,"R$ 351,10",#VALUE!,#VALUE!,#VALUE!,,,,
14/02/2020,2/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 7,02",Rendimentos,,ITSA3,"R$ 288,98","1,256%",,4/2023,"R$ 381,17",#VALUE!,#VALUE!,#VALUE!,,,,
14/02/2020,2/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 4,44",Rendimentos,,GGBR3,"R$ 107,80","0,469%",,5/2023,"R$ 667,75",#VALUE!,#VALUE!,#VALUE!,,,,
17/02/2020,2/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 54,68",Pgto. Juros,,SAPR3,"R$ 113,90","0,495%",,6/2023,"R$ 510,38",#VALUE!,#VALUE!,#VALUE!,,,,
17/02/2020,2/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,IPCA+ Juros,Real,"R$ 0,74",Pgto. Juros,,CPLE3,"R$ 45,32","0,197%",,7/2023,"R$ 444,19",#VALUE!,#VALUE!,#VALUE!,,,,
20/02/2020,2/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,KLBN11,Real,"R$ 0,04",Dividendo,,Desconhecido,"R$ 9,49","0,041%",,8/2023,"R$ 519,85",#VALUE!,#VALUE!,#VALUE!,,,,
06/03/2020,3/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 4,97",Dividendo,,BTHF11,"R$ 408,15","1,774%",,9/2023,"R$ 328,62",#VALUE!,#VALUE!,#VALUE!,,,,
06/03/2020,3/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 0,12",Juros sobre capital próprio,,GGBR3 ,"R$ 13,10","0,057%",,10/2023,"R$ 401,16",#VALUE!,#VALUE!,#VALUE!,,,,
06/03/2020,3/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 4,07",Juros sobre capital próprio,,BTH,"R$ 140,20","0,609%",,11/2023,"R$ 364,21",#VALUE!,#VALUE!,#VALUE!,,,,
13/03/2020,3/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 8,09",Rendimentos,,,,,,12/2023,"R$ 599,21",#VALUE!,#VALUE!,#VALUE!,,,,
13/03/2020,3/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 7,02",Rendimentos,,,,,,1/2024,"R$ 358,66",#VALUE!,#VALUE!,#VALUE!,,,,
